"species","decimalLongitude","decimalLatitude"
"Didelphis virginiana",-87.817182,41.977392
"Didelphis virginiana",-119.723053,34.406666
"Didelphis virginiana",-98.050007,18.208614
"Didelphis virginiana",-104.185833,23.844333
"Didelphis virginiana",-101.927672,34.991753
"Didelphis virginiana",-98.905787,31.624487
"Didelphis virginiana",-99.844167,16.815
"Didelphis virginiana",-106.373523,35.107834
"Didelphis virginiana",-99.6856663,17.5573724
"Didelphis virginiana",-105.1665,21.4126
"Didelphis virginiana",-90.982894,16.88178
"Didelphis virginiana",-91.134945,30.4462009
"Didelphis virginiana",-105.1966438,21.4905584
"Didelphis virginiana",-99.18806,19.3125
"Didelphis virginiana",-82.75972,28.99139
"Didelphis virginiana",-105.733333,22.5477
"Didelphis virginiana",-102.732778,23.604722
"Didelphis virginiana",-93.157683,16.417594
"Didelphis virginiana",-84.166667,14.533333
"Didelphis virginiana",-97.4859377,35.1803947
"Didelphis virginiana",-83.8369744,42.2534553
"Didelphis virginiana",-81.95,39.95
"Didelphis virginiana",-84.876829,43.392972
"Didelphis virginiana",-97.878391,36.613132
"Didelphis virginiana",-91.7899613,30.299204
"Didelphis virginiana",-111.815929,40.74976
"Didelphis virginiana",-117.93773,33.766352
"Didelphis virginiana",-89.016667,43
"Didelphis virginiana",-94.872347,40.360769
"Didelphis virginiana",-122.3328,48.4214
"Didelphis virginiana",-91.1569454,30.409202
"Didelphis virginiana",-90.919939,30.3122057
"Didelphis virginiana",-98.0561,20.309288
"Didelphis virginiana",-99.93,18.315278
"Didelphis virginiana",-91.1869463,30.4452008
"Didelphis virginiana",-91.1069441,30.3912027
"Didelphis virginiana",-105.1914303,20.7030383
"Didelphis virginiana",-82.37243,29.635768
"Didelphis virginiana",-98.537507,18.535558
"Didelphis virginiana",-80.433333,43.593384
"Didelphis virginiana",-87.334887,20.372125
"Didelphis virginiana",-123.3225049,44.5644277
"Didelphis virginiana",-96.9844581,37.1527964
"Didelphis virginiana",-97.722538,32.613056
"Didelphis virginiana",-73.321751,41.161985
"Didelphis virginiana",-122.240444,40.177832
"Didelphis virginiana",-97.405997,35.211035
"Didelphis virginiana",-80.7964,40.4621
"Didelphis virginiana",-96.883263,33.984116
"Didelphis virginiana",-89.88379,34.997537
"Didelphis virginiana",-97.544365,38.57354
"Didelphis virginiana",-99.658889,18.35
"Didelphis virginiana",-92.077971,30.9841815
"Didelphis virginiana",-90.752332,35.564165
"Didelphis virginiana",-96.5665333,40.0194566
"Didelphis virginiana",-90.809903,18.6073463
"Didelphis virginiana",-97.573643,34.998992
"Didelphis virginiana",-104.9234688,21.345476
"Didelphis virginiana",-87.660278,41.965065
"Didelphis virginiana",-89.825868,34.841338
"Didelphis virginiana",-102.7174099,19.9941899
"Didelphis virginiana",-99.253256,31.219953
"Didelphis virginiana",-87.747158,42.033395
"Didelphis virginiana",-107.135167,27.2695
"Didelphis virginiana",-96.805007,33.882163
"Didelphis virginiana",-71.16613,42.34065
"Didelphis virginiana",-98.978645,38.534699
"Didelphis virginiana",-122.338619,38.316556
"Didelphis virginiana",-122.7153,45.4047
"Didelphis virginiana",-99.433889,18.743611
"Didelphis virginiana",-97.82528,18.13361
"Didelphis virginiana",-80.53,42.68
"Didelphis virginiana",-99.694641,38.991383
"Didelphis virginiana",-100.448687,31.276819
"Didelphis virginiana",-96.418172,30.62778
"Didelphis virginiana",-73.1311,41.2528
"Didelphis virginiana",-122.2706329,37.8760992
"Didelphis virginiana",-87.808292,42.001447
"Didelphis virginiana",-105.2273287,21.5399401
"Didelphis virginiana",-121.93472,37.94111
"Didelphis virginiana",-91.5743,41.65924
"Didelphis virginiana",-99.245834,38.811108
"Didelphis virginiana",-89.550003,14.8
"Didelphis virginiana",-99.04289,31.85575
"Didelphis virginiana",-100.51211,31.448768
"Didelphis virginiana",-93.100833,16.885
"Didelphis virginiana",-91.1279447,30.4052022
"Didelphis virginiana",-95.113611,18.410278
"Didelphis virginiana",-87.980683,15.271586
"Didelphis virginiana",-91.0769433,30.385203
"Didelphis virginiana",-97.2809566,42.0326472
"Didelphis virginiana",-98.578331,18.518055
"Didelphis virginiana",-83.976389,42.732778
"Didelphis virginiana",-100.457156,31.442933
"Didelphis virginiana",-122.733033,48.985483
"Didelphis virginiana",-85.31667,10.53333
"Didelphis virginiana",-88.92638,35.38193
"Didelphis virginiana",-104.82185,22.037633
"Didelphis virginiana",-90.98,18.8
"Didelphis virginiana",-97.1684,15.989
"Didelphis virginiana",-117.004696,32.760932
"Didelphis virginiana",-123.250567,49.263456
"Didelphis virginiana",-117.523336,33.355347
"Didelphis virginiana",-103.166035,21.1480034
"Didelphis virginiana",-99.427778,22.125833
"Didelphis virginiana",-104.278692,42.064959
"Didelphis virginiana",-104.933619,21.967458
"Didelphis virginiana",-96.6994,16.692
"Didelphis virginiana",-84.39,43.64
"Didelphis virginiana",-95.046667,18.5775
"Didelphis virginiana",-92.630833,16.589167
"Didelphis virginiana",-78.8798309,39.696491
"Didelphis virginiana",-88.103611,19.389722
"Didelphis virginiana",-95.103333,18.419444
"Didelphis virginiana",-99.4205,18.36441
"Didelphis virginiana",-72.61806,40.90333
"Didelphis virginiana",-99.1815,19.3207
"Didelphis virginiana",-85.43333,11.98333
"Didelphis virginiana",-121.93633,38.024298
"Didelphis virginiana",-97.3972,32.20075
"Didelphis virginiana",-99.634827,38.938038
"Didelphis virginiana",-89.497242,35.228889
"Didelphis virginiana",-95.7289042,39.054975
"Didelphis virginiana",-85.2863,35.0454
"Didelphis virginiana",-122.36921,47.7634
"Didelphis virginiana",-91.0199404,29.9362177
"Didelphis virginiana",-98.086573,29.174006
"Didelphis virginiana",-86.856848,36.0960551
